RunId,iteration,Step,has_regulation,num_month_rent_renovation,rent_increase_differential,max_complaint,rent_discount,init_num_people,base_decay_constant,decay_differential,mean_quality,mean_complaints,mean_displacement,mean_housing_quality,mean_rent_price,hh_low_quality,hh_rent_regulation,movement,attempt,movement_li,attempt_li
30,5,20,True,3,0.08,4,0.5,2,0.15,0.05,"(64.69998087352914, 42.96064810393753)","(0.6991869918699187, 0.8387096774193549)","(0.967479674796748, 1.0)","(23.835983437692597, 100.0)","(0.19958748242352656, 3.085493947245864)","(33, 15)","(161, 147)",126,"(1438, 294)",9,"(398, 40)"
36,6,0,True,3,0.08,4,0.5,2,0.15,0.05,"(75.16717408294978, 78.68730827319658)","(0.0, 0.0)","(0.0, 0.0)","(75.37891421278347, 76.65076354865502)","(0.2039850849506589, 0.40728770485629684)","(0, 0)","(160, 148)",0,"(0, 0)",0,"(0, 0)"
36,6,2,True,3,0.08,4,0.5,2,0.15,0.05,"(65.5899745423817, 67.77515163218497)","(0.6186440677966102, 0.4722222222222222)","(0.00847457627118644, 0.4166666666666667)","(50.527997245229514, 100.0)","(0.2031548670781696, 0.5304210450526502)","(38, 11)","(188, 120)",45,"(76, 0)",10,"(40, 0)"
36,6,4,True,3,0.08,4,0.5,2,0.15,0.05,"(62.651620980969334, 59.716410986364764)","(1.1016949152542372, 1.2777777777777777)","(0.23728813559322035, 0.5)","(40.23779594557086, 100.0)","(0.20239588178210433, 0.6458200066259308)","(45, 14)","(181, 127)",72,"(142, 27)",10,"(70, 3)"
36,6,6,True,3,0.08,4,0.5,2,0.15,0.05,"(67.6149347691826, 62.5809571151761)","(0.576271186440678, 0.5555555555555556)","(0.7288135593220338, 0.9166666666666666)","(42.10716910859468, 100.0)","(0.19754659174714498, 0.8011019689166047)","(36, 11)","(178, 130)",97,"(247, 88)",11,"(101, 18)"
36,6,8,True,3,0.08,4,0.5,2,0.15,0.05,"(63.86883118722726, 58.14322264346774)","(0.7966101694915254, 1.0277777777777777)","(0.8389830508474576, 0.9444444444444444)","(35.263766973800095, 100.0)","(0.19987888328932887, 0.9764572558099924)","(39, 13)","(177, 131)",105,"(368, 109)",11,"(134, 22)"
36,6,10,True,3,0.08,4,0.5,2,0.15,0.05,"(62.76146409167589, 59.29605925875983)","(0.864406779661017, 0.6388888888888888)","(0.9067796610169492, 0.9722222222222222)","(33.69108402139071, 100.0)","(0.19917467648999426, 1.189108077882421)","(38, 11)","(177, 131)",106,"(494, 152)",11,"(168, 34)"
36,6,12,True,3,0.08,4,0.5,2,0.15,0.05,"(64.60864932181991, 59.65754988163141)","(0.6610169491525424, 0.8055555555555556)","(0.923728813559322, 0.9722222222222222)","(35.10301788836959, 100.0)","(0.1993371761044901, 1.4332264766153764)","(36, 13)","(177, 131)",107,"(620, 189)",12,"(202, 40)"
36,6,14,True,3,0.08,4,0.5,2,0.15,0.05,"(61.98619979832345, 57.60670837137994)","(0.7457627118644068, 0.5)","(0.923728813559322, 0.9722222222222222)","(31.522007350563662, 100.0)","(0.1993371761044901, 1.7342040367046052)","(48, 13)","(177, 131)",107,"(746, 223)",12,"(236, 50)"
36,6,16,True,3,0.08,4,0.5,2,0.15,0.05,"(63.49183712953276, 60.71515159732886)","(0.847457627118644, 0.8888888888888888)","(0.923728813559322, 0.9722222222222222)","(33.675659075378086, 100.0)","(0.1993371761044901, 2.0983868844125726)","(34, 12)","(177, 131)",107,"(872, 254)",12,"(270, 55)"
36,6,18,True,3,0.08,4,0.5,2,0.15,0.05,"(64.21898155584577, 64.40754260776735)","(0.788135593220339, 0.6388888888888888)","(0.9322033898305084, 1.0)","(35.32450420872821, 100.0)","(0.1993371761044901, 2.5390481301392143)","(37, 9)","(177, 131)",107,"(998, 292)",12,"(304, 65)"
36,6,20,True,3,0.08,4,0.5,2,0.15,0.05,"(62.42061554573109, 59.81724052983994)","(0.7372881355932204, 0.8333333333333334)","(0.9322033898305084, 1.0)","(32.062453346901826, 100.0)","(0.1993371761044901, 3.0722482374684494)","(37, 12)","(177, 131)",107,"(1124, 322)",12,"(338, 70)"
37,6,0,True,3,0.1,4,0.5,2,0.15,0.05,"(78.78308367172266, 74.17632113060492)","(0.0, 0.0)","(0.0, 0.0)","(78.01674682268018, 77.86845660107538)","(0.21374218451496577, 0.42103123659630215)","(0, 0)","(160, 148)",0,"(0, 0)",0,"(0, 0)"
